#{"t_start": 1721932980.5830736, "env_id": "None"}
r,l,t
-320.5855,301,1243.03625
-444.55185,301,1246.266104
-408.8163,301,1246.886071
-412.6566,301,1246.917188
-857.3151,301,1249.954018
-1032.2838,301,1252.798283
-712.87964,301,1253.364051
-336.05667,301,1253.40035
-440.021,301,1257.033865
-12.717619,47,1258.123572
-191.84996,301,1259.901966
-649.7932,301,1260.510223
-349.0103,301,1260.536786
-12.476919,47,1261.700843
-292.47308,301,1265.239583
-1239.4509,301,1267.11982
-351.97845,301,1267.665514
-907.30054,301,1268.756265
-604.58356,301,1272.205238
-412.2122,301,1274.067413
-277.8776,301,1274.613316
-688.0478,301,1275.748674
-8.85429,42,1276.767536
-318.75052,301,1279.23814
-576.4909,301,1281.102883
-653.7991,301,1281.657728
-14.89501,48,1282.192809
-938.5497,301,1283.586402
-16.464827,50,1284.589882
-779.6827,301,1285.941556
-883.5543,301,1288.320376
-368.15546,301,1288.915858
-301.3231,301,1291.661835
-346.0516,301,1293.062306
-432.84537,301,1295.501488
-959.83844,301,1296.068442
-593.2699,301,1298.677148
-9.941664,43,1299.567983
-730.9322,301,1299.85831
-564.00604,301,1302.28044
-490.78137,301,1302.831815
-406.40298,301,1306.316415
-533.8225,301,1306.645156
-14.251997,48,1307.821151
-531.0177,301,1309.057472
-308.29108,301,1309.568126
-422.39584,301,1313.277436
-563.0643,301,1314.713377
-355.2907,301,1315.938853
-562.8363,301,1316.432821
-285.89316,301,1319.716559
-771.415,301,1321.164862
-329.1169,301,1322.46663
-619.5891,301,1323.000258
-13.701138,48,1323.500538
-294.59772,301,1326.324302
-11.495798,45,1327.375005
-457.69412,301,1327.779591
-687.29694,301,1329.686427
-604.4085,301,1330.256363
-336.5464,301,1334.532344
-326.15985,301,1334.937753
-278.828,301,1336.852316
-548.7497,301,1337.425279
-838.6718,301,1341.82994
-516.12036,301,1342.20475
-270.37012,301,1343.810637
-249.04825,301,1344.313938
-400.3479,301,1348.484427
-1025.0492,301,1348.924831
-499.3633,301,1350.802595
-421.8502,301,1351.378926
-223.55649,301,1355.259854
-1225.9434,301,1355.637908
-481.5234,301,1357.407212
-246.78075,301,1357.910817
-352.46115,301,1361.609673
-580.4755,301,1362.000565
-8.259291,42,1362.97374
-276.34277,301,1363.884946
-776.33014,301,1364.439016
-90.573814,51,1365.637119
-603.7728,301,1368.540331
-825.3082,301,1369.884667
-341.06317,301,1370.786912
-365.8621,301,1372.562834
-363.06036,301,1375.521355
-698.45056,301,1376.880628
-406.34012,301,1377.756185
-295.90887,301,1379.552991
-12.45974,46,1380.628799
-643.25586,301,1382.590474
-700.14484,301,1383.988539
-1305.1892,301,1384.86733
-786.8887,301,1387.674409
-112.13711,47,1388.827419
-370.95477,301,1389.761619
-573.83765,301,1391.3042
-597.8288,301,1392.230675
-449.662,301,1396.588053
-934.22,301,1397.516268
